fid,id,Grid_data_Nit_dep,Grid_data_Acid_dep,X,Y
167,167,"0.4","0.1",407691,360254
168,168,"0.3","0.1",407691,360154
169,169,"0.3","0.5",407691,360054
170,170,"0.3","0.5",407691,359954
171,171,"0.3","0.5",407691,359854
172,172,"0.3","0.5",407691,359754
173,173,"0.2","0.5",407691,359654
174,174,"0.2","0.5",407691,359554
175,175,"0.2","0.5",407691,359454
176,176,"0.2","0.5",407691,359354
177,177,"0.2","0.5",407691,359254
178,178,"0.2","0.5",407691,359154
179,179,"0.2","0.5",407691,359054
180,180,"0.2","0.5",407691,358954
181,181,"0.37","0.5",407691,358854
182,182,"0.37","0.5",407691,358754
183,183,"0.37","0.5",407691,358654
184,184,"0.37","0.5",407691,358554
185,185,"0.37","0.5",407691,358454
186,186,"0.37","0.5",407691,358354
187,187,"0.37","0.5",407691,358254
188,188,"0.37","0.5",407691,358154
189,189,"0.37","0.5",407691,358054
190,190,"0.37","0.5",407691,357954
191,191,"0.37","0.25",407691,357854
192,192,"0.37","0.25",407691,357754
193,193,"0.37","0.25",407691,357654
194,194,"0.37","0.25",407691,357554
195,195,"0.37","0.25",407691,357454
196,196,"0.2","0.25",407691,357354
197,197,"0.42","0.25",407691,357254
198,198,"0.42","0.25",407691,357154
199,199,"0.4","0.25",407691,357054
200,200,"0.4","0.25",407691,356954
201,201,"0.4","0.25",407691,356854
202,202,"0.4","0.25",407691,356754
203,203,"0.2","0.25",407691,356654
204,204,"0.5","0.25",407691,356554
205,205,"0.5","0.25",407691,356454
206,206,"0.5","0.25",407691,356354
207,207,"0.5","0.25",407691,356254
208,208,"0.5","0.25",407691,356154
209,209,"0.5","0.18",407791,361254
210,210,"0.5","0.18",407791,361154
211,211,"0.5","0.18",407791,361054
212,212,"0.5","0.18",407791,360954
213,213,"0.5","0.18",407791,360854
214,214,"0.5","0.18",407791,360754
215,215,"0.4","0.1",407791,360654
216,216,"0.4","0.1",407791,360554
217,217,"0.4","0.1",407791,360454
218,218,"0.4","0.1",407791,360354
219,219,"0.4","0.1",407791,360254
220,220,"0.3","0.1",407791,360154
221,221,"0.3","0.5",407791,360054
222,222,"0.3","0.5",407791,359954
223,223,"0.3","0.5",407791,359854
224,224,"0.3","0.5",407791,359754
225,225,"0.2","0.5",407791,359654
226,226,"0.27","0.5",407791,359554
227,227,"0.27","0.5",407791,359454
228,228,"0.27","0.5",407791,359354
229,229,"0.27","0.5",407791,359254
230,230,"0.27","0.5",407791,359154
231,231,"0.27","0.5",407791,359054
232,232,"0.27","0.5",407791,358954
233,233,"0.37","0.5",407791,358854
234,234,"0.37","0.5",407791,358754
235,235,"0.37","0.5",407791,358654
236,236,"0.37","0.5",407791,358554
237,237,"0.37","0.5",407791,358454
238,238,"0.37","0.5",407791,358354
239,239,"0.37","0.5",407791,358254
240,240,"0.37","0.5",407791,358154
241,241,"0.37","0.5",407791,358054
242,242,"0.37","0.5",407791,357954
243,243,"0.37","0.25",407791,357854
244,244,"0.37","0.25",407791,357754
245,245,"0.37","0.25",407791,357654
246,246,"0.37","0.25",407791,357554
247,247,"0.37","0.25",407791,357454
248,248,"0.2","0.25",407791,357354
249,249,"0.42","0.25",407791,357254
250,250,"0.42","0.25",407791,357154
251,251,"0.4","0.25",407791,357054
252,252,"0.4","0.25",407791,356954
253,253,"0.4","0.25",407791,356854
254,254,"0.4","0.25",407791,356754
255,255,"0.2","0.25",407791,356654
256,256,"0.5","0.25",407791,356554
257,257,"0.5","0.25",407791,356454
258,258,"0.5","0.25",407791,356354
259,259,"0.5","0.25",407791,356254
260,260,"0.5","0.25",407791,356154
261,261,"0.5","0.18",407891,361254
262,262,"0.5","0.18",407891,361154
263,263,"0.5","0.18",407891,361054
264,264,"0.5","0.18",407891,360954
265,265,"0.5","0.18",407891,360854
266,266,"0.5","0.18",407891,360754
267,267,"0.4","0.1",407891,360654
268,268,"0.4","0.1",407891,360554
269,269,"0.4","0.1",407891,360454
270,270,"0.4","0.1",407891,360354
271,271,"0.4","0.1",407891,360254
272,272,"0.3","0.1",407891,360154
273,273,"0.3","0.5",407891,360054
274,274,"0.3","0.5",407891,359954
275,275,"0.3","0.5",407891,359854
276,276,"0.3","0.5",407891,359754
277,277,"0.2","0.5",407891,359654
278,278,"0.27","0.5",407891,359554
279,279,"0.27","0.5",407891,359454
280,280,"0.27","0.5",407891,359354
281,281,"0.27","0.5",407891,359254
282,282,"0.27","0.5",407891,359154
283,283,"0.27","0.5",407891,359054
284,284,"0.27","0.5",407891,358954
285,285,"0.37","0.5",407891,358854
286,286,"0.37","0.5",407891,358754
287,287,"0.37","0.5",407891,358654
288,288,"0.37","0.5",407891,358554
289,289,"0.37","0.5",407891,358454
290,290,"0.37","0.5",407891,358354
291,291,"0.37","0.5",407891,358254
292,292,"0.37","0.5",407891,358154
293,293,"0.37","0.5",407891,358054
294,294,"0.37","0.5",407891,357954
295,295,"0.37","0.25",407891,357854
296,296,"0.37","0.25",407891,357754
297,297,"0.37","0.25",407891,357654
298,298,"0.37","0.25",407891,357554
299,299,"0.37","0.25",407891,357454
300,300,"0.2","0.25",407891,357354
301,301,"0.42","0.25",407891,357254
302,302,"0.42","0.25",407891,357154
303,303,"0.4","0.25",407891,357054
304,304,"0.4","0.25",407891,356954
305,305,"0.4","0.25",407891,356854
306,306,"0.4","0.25",407891,356754
307,307,"0.2","0.25",407891,356654
308,308,"0.5","0.25",407891,356554
309,309,"0.5","0.25",407891,356454
310,310,"0.5","0.25",407891,356354
311,311,"0.5","0.25",407891,356254
312,312,"0.5","0.25",407891,356154
313,313,"0.5","0.18",407991,361254
314,314,"0.5","0.18",407991,361154
315,315,"0.5","0.18",407991,361054
316,316,"0.5","0.18",407991,360954
317,317,"0.5","0.18",407991,360854
318,318,"0.5","0.18",407991,360754
319,319,"0.4","0.1",407991,360654
320,320,"0.4","0.1",407991,360554
321,321,"0.4","0.1",407991,360454
322,322,"0.4","0.1",407991,360354
323,323,"0.4","0.1",407991,360254
324,324,"0.3","0.1",407991,360154
325,325,"0.3","0.5",407991,360054
326,326,"0.3","0.5",407991,359954
327,327,"0.3","0.5",407991,359854
328,328,"0.3","0.5",407991,359754
329,329,"0.2","0.5",407991,359654
330,330,"0.27","0.5",407991,359554
331,331,"0.27","0.5",407991,359454
332,332,"0.27","0.5",407991,359354
333,333,"0.27","0.5",407991,359254
334,334,"0.27","0.5",407991,359154
335,335,"0.27","0.5",407991,359054
336,336,"0.27","0.5",407991,358954
337,337,"0.2","0.5",407991,358854
338,338,"0.2","0.5",407991,358754
339,339,"0.2","0.5",407991,358654
340,340,"0.2","0.5",407991,358554
341,341,"0.2","0.5",407991,358454
342,342,"0.2","0.5",407991,358354
343,343,"0.2","0.5",407991,358254
344,344,"0.2","0.5",407991,358154
345,345,"0.2","0.5",407991,358054
346,346,"0.2","0.5",407991,357954
347,347,"0.2","0.25",407991,357854
348,348,"0.2","0.25",407991,357754
349,349,"0.2","0.25",407991,357654
350,350,"0.2","0.25",407991,357554
351,351,"0.2","0.25",407991,357454
352,352,"0.2","0.25",407991,357354
353,353,"0.2","0.25",407991,357254
354,354,"0.2","0.25",407991,357154
355,355,"0.4","0.25",407991,357054
356,356,"0.4","0.25",407991,356954
357,357,"0.4","0.25",407991,356854
358,358,"0.4","0.25",407991,356754
359,359,"0.2","0.25",407991,356654
360,360,"0.5","0.25",407991,356554
361,361,"0.5","0.25",407991,356454
362,362,"0.5","0.25",407991,356354
363,363,"0.5","0.25",407991,356254
364,364,"0.5","0.25",407991,356154
365,365,"0.5","0.18",408091,361254
366,366,"0.5","0.18",408091,361154
367,367,"0.5","0.18",408091,361054
368,368,"0.5","0.18",408091,360954
369,369,"0.5","0.18",408091,360854
370,370,"0.5","0.18",408091,360754
371,371,"0.4","0.1",408091,360654
372,372,"0.4","0.1",408091,360554
373,373,"0.4","0.1",408091,360454
374,374,"0.4","0.1",408091,360354
375,375,"0.4","0.1",408091,360254
376,376,"0.3","0.1",408091,360154
377,377,"0.3","0.5",408091,360054
378,378,"0.3","0.5",408091,359954
379,379,"0.3","0.5",408091,359854
380,380,"0.3","0.5",408091,359754
381,381,"0.2","0.5",408091,359654
382,382,"0.2","0.5",408091,359554
383,383,"0.2","0.5",408091,359454
384,384,"0.2","0.5",408091,359354
385,385,"0.2","0.5",408091,359254
386,386,"0.2","0.5",408091,359154
387,387,"0.2","0.5",408091,359054
388,388,"0.2","0.5",408091,358954
389,389,"0.2","0.5",408091,358854
390,390,"0.2","0.5",408091,358754
391,391,"0.2","0.5",408091,358654
392,392,"0.2","0.5",408091,358554
393,393,"0.2","0.5",408091,358454
394,394,"0.2","0.5",408091,358354
395,395,"0.2","0.5",408091,358254
396,396,"0.2","0.5",408091,358154
397,397,"0.2","0.5",408091,358054
398,398,"0.2","0.5",408091,357954
